Platform,File Name,Class,Start Line,End Line,Displacement,Level
chatgpt,gpt-1.py,Print,11,11,0,A1
chatgpt,gpt-1.py,Print,15,15,0,A1
chatgpt,gpt-1.py,Simple Assignment,9,9,0,A1
chatgpt,gpt-1.py,Simple Assignment,10,10,0,A1
chatgpt,gpt-1.py,Simple Assignment,13,13,0,A1
chatgpt,gpt-1.py,Simple Assignment,14,14,0,A1
chatgpt,gpt-1.py,Assigment with sum (total = total + 1),2,2,4,A1
chatgpt,gpt-1.py,Simple If statements,3,6,4,A1
chatgpt,gpt-1.py,Function with Simple argument,1,6,0,A1
chatgpt,gpt-1.py,Return,4,4,8,A1
chatgpt,gpt-1.py,Return,6,6,8,A1
chatgpt,gpt-10.py,Simple List,1,1,8,A1
chatgpt,gpt-10.py,Simple List,2,2,8,A1
chatgpt,gpt-10.py,Print,13,13,0,A1
chatgpt,gpt-10.py,List Comprehension with 1If statements,5,5,14,C1
chatgpt,gpt-10.py,List Comprehension with 1If statements,8,8,15,C1
chatgpt,gpt-10.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-10.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-10.py,Simple Assignment,5,5,0,A1
chatgpt,gpt-10.py,Simple Assignment,8,8,0,A1
chatgpt,gpt-10.py,Assigment with sum (total = total + 1),11,11,0,A1
chatgpt,gpt-100.py,Simple Dictionary,1,5,14,A2
chatgpt,gpt-100.py,Print,10,10,0,A1
chatgpt,gpt-100.py,Simple Atributte,8,8,31,A2
chatgpt,gpt-100.py,Simple Assignment,1,5,0,A1
chatgpt,gpt-100.py,Simple Assignment,8,8,0,A1
chatgpt,gpt-101.py,3 Nested Dictionary,1,5,14,B1
chatgpt,gpt-101.py,Simple Dictionary,2,2,12,A2
chatgpt,gpt-101.py,Simple Dictionary,3,3,12,A2
chatgpt,gpt-101.py,Simple Dictionary,4,4,12,A2
chatgpt,gpt-101.py,Print,11,11,0,A1
chatgpt,gpt-101.py,Simple Assignment,1,5,0,A1
chatgpt,gpt-101.py,Simple Assignment,9,9,4,A1
